,Car_type,Fuel_type,Drive,Fuel_consumtion,vehicle_brand,Transmission,cylinder,cubic_capacity
31033,Compact Cars,Regular,Front-Wheel Drive,11.3658620689655,Mazda,Manual 6-spd,4.0,2.5
31034,Compact Cars,Regular,Front-Wheel Drive,10.987,Mazda,Automatic (S6),4.0,2.5
31035,Compact Cars,Regular,Front-Wheel Drive,10.6325806451613,Mazda,Automatic (S6),4.0,2.5
31036,Compact Cars,Premium,Rear-Wheel Drive,20.600625,Mercedes-Benz,Automatic 7-spd,12.0,6.0
31037,Midsize Cars,Regular,Rear-Wheel Drive,14.3308695652174,Dodge,Automatic 8-spd,6.0,3.6
31038,Midsize Cars,Regular,All-Wheel Drive,15.6957142857143,Dodge,Automatic 8-spd,6.0,3.6
31039,Midsize Cars,Midgrade,Rear-Wheel Drive,17.3478947368421,Dodge,Automatic 8-spd,8.0,5.7
31040,Midsize Cars,Premium,Rear-Wheel Drive,18.3116666666667,Dodge,Automatic 8-spd,8.0,6.4
31041,Standard Pickup Trucks,Regular,4-Wheel or All-Wheel Drive,25.3546153846154,GMC,Automatic 4-spd,8.0,5.7
31042,Midsize Cars,Premium,Rear-Wheel Drive,18.3116666666667,Dodge,Manual 6-spd,8.0,5.7
31043,Midsize Cars,Premium,Rear-Wheel Drive,20.600625,Dodge,Automatic 8-spd,8.0,6.2
31044,Midsize Cars,Premium,Rear-Wheel Drive,18.3116666666667,Dodge,Automatic 8-spd,8.0,6.4
31045,Midsize Cars,Premium,Rear-Wheel Drive,20.600625,Dodge,Manual 6-spd,8.0,6.2
31046,Midsize Cars,Regular,Front-Wheel Drive,10.6325806451613,Mazda,Manual 6-spd,4.0,2.0
31047,Midsize Cars,Regular,Front-Wheel Drive,10.6325806451613,Mazda,Automatic (S6),4.0,2.0
31048,Midsize Cars,Regular,Front-Wheel Drive,11.7717857142857,Mazda,Manual 6-spd,4.0,2.5
31049,Midsize Cars,Regular,Front-Wheel Drive,10.987,Mazda,Automatic (S6),4.0,2.5
31050,Midsize Cars,Regular,Front-Wheel Drive,10.987,Mazda,Automatic (S6),4.0,2.5
